time,.x,.y,.z
2020/02/28/12:49:48.278280,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.311607,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.344938,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.378227,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.411586,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.444920,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.478214,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.511588,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.544939,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.578271,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.611608,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.644931,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.678249,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.711575,0.0157817602158,0.0617754608393,0.0324022322893
2020/02/28/12:49:48.744908,0.0280882865191,0.0559092052281,0.00727547705173
2020/02/28/12:49:48.778211,0.0280882865191,0.0559092052281,0.00727547705173
2020/02/28/12:49:48.811563,0.0280882865191,0.0559092052281,0.00727547705173
